"ファイル名","WAVE0002.CSV","V1.11"
"タイトルコメント",""
"トリガ時刻","'23-11-22 14:02:41"
"CH","CH1","CH2","CH3",
"Mode","DC","DC","DC",
"Range","100V","20V","1V",
"Comment","","","",
"Scaling","OFF","OFF","ON",
"Ratio"," 1.00000E+00"," 1.00000E+00"," 2.00000E+02",
"Offset"," 0.00000E+00"," 0.00000E+00"," 0.00000E+00",
"Time","CH1[V]","CH2[V]","CH3[A]","Event"
 0.000000000E+00,-9.3750000E-01,-3.1250000E-02, 3.1250000E-01,0,
 5.000000000E-01,-7.8125000E-01,-9.3750000E-02, 6.2500000E-01,0,
 1.000000000E+00,-9.3750000E-01,-6.2500000E-02, 3.1250000E-01,0,
 1.500000000E+00,-9.3750000E-01,-6.2500000E-02, 6.2500000E-01,0,
 2.000000000E+00,-9.3750000E-01,-6.2500000E-02, 3.1250000E-01,0,
 2.500000000E+00,-9.3750000E-01,-6.2500000E-02,-3.1250000E-01,0,
 3.000000000E+00,-9.3750000E-01,-9.3750000E-02, 3.1250000E-01,0,
 3.500000000E+00,-9.3750000E-01,-6.2500000E-02, 3.1250000E-01,0,
 4.000000000E+00,-9.3750000E-01,-3.1250000E-02, 3.1250000E-01,0,
 4.500000000E+00,-9.3750000E-01,-6.2500000E-02,-3.1250000E-01,0,
 5.000000000E+00,-9.3750000E-01,-3.1250000E-02, 3.1250000E-01,0,
 5.500000000E+00,-9.3750000E-01,-3.1250000E-02,-6.2500000E-01,0,
 6.000000000E+00,-9.3750000E-01,-3.1250000E-02,-6.2500000E-01,0,
 6.500000000E+00,-9.3750000E-01,-3.1250000E-02, 9.3750000E-01,0,
 7.000000000E+00,-9.3750000E-01,-9.3750000E-02, 3.1250000E-01,0,
 7.500000000E+00,-1.0937500E+00,-6.2500000E-02, 6.2500000E-01,0,
 8.000000000E+00, 5.1718750E+01,-6.2500000E-02, 0.0000000E+00,0,
 8.500000000E+00, 5.1718750E+01,-9.3750000E-02, 3.1250000E-01,0,
 9.000000000E+00, 5.1718750E+01,-6.2500000E-02, 3.1250000E-01,0,
 9.500000000E+00, 5.1406250E+01,-3.1250000E-02, 9.3750000E-01,0,
 1.000000000E+01, 5.1718750E+01,-6.2500000E-02, 1.5625000E+00,0,
 1.050000000E+01, 5.1718750E+01,-3.1250000E-02, 3.1250000E-01,0,
 1.100000000E+01, 5.2031250E+01,-6.2500000E-02,-3.1250000E-01,0,
 1.150000000E+01, 5.1718750E+01,-6.2500000E-02, 3.1250000E-01,0,
 1.200000000E+01, 3.6875000E+01,-3.1250000E-02, 1.2500000E+00,0,
 1.250000000E+01, 3.6875000E+01,-3.1250000E-02, 9.3750000E-01,0,
 1.300000000E+01, 2.1250000E+01,-9.3750000E-02, 0.0000000E+00,0,
 1.350000000E+01, 3.5781250E+01,-3.1250000E-02, 3.1250000E-01,0,
 1.400000000E+01, 3.6406250E+01,-6.2500000E-02, 3.1250000E-01,0,
 1.450000000E+01, 3.6406250E+01,-6.2500000E-02, 3.1250000E-01,0,
 1.500000000E+01, 3.0156250E+01,-3.1250000E-02,-8.1250000E+00,0,
 1.550000000E+01, 2.1250000E+01,-6.2500000E-02, 9.3750000E-01,0,
 1.600000000E+01, 3.5312500E+01,-9.3750000E-02, 3.1250000E-01,0,
 1.650000000E+01, 3.6250000E+01,-6.2500000E-02, 3.1250000E-01,0,
 1.700000000E+01, 3.6718750E+01,-3.1250000E-02, 0.0000000E+00,0,
 1.750000000E+01, 3.6406250E+01,-6.2500000E-02, 1.2500000E+00,0,
 1.800000000E+01, 3.6406250E+01,-6.2500000E-02, 9.3750000E-01,0,
 1.850000000E+01, 2.0781250E+01,-6.2500000E-02, 9.3750000E-01,0,
 1.900000000E+01, 3.5468750E+01,-6.2500000E-02,-3.1250000E-01,0,
 1.950000000E+01, 3.5937500E+01,-3.1250000E-02,-3.1250000E-01,0,
 2.000000000E+01, 2.0312500E+01,-9.3750000E-02, 5.6250000E+00,0,
 2.050000000E+01, 3.4531250E+01,-6.2500000E-02, 0.0000000E+00,0,
 2.100000000E+01, 3.4687500E+01,-6.2500000E-02,-3.1250000E-01,0,
 2.150000000E+01, 3.6718750E+01,-6.2500000E-02, 9.3750000E-01,0,
 2.200000000E+01, 3.6406250E+01,-9.3750000E-02, 9.3750000E-01,0,
 2.250000000E+01, 3.5156250E+01,-9.3750000E-02, 3.1250000E-01,0,
 2.300000000E+01, 3.6250000E+01,-6.2500000E-02, 6.2500000E-01,0,
 2.350000000E+01, 3.6406250E+01,-6.2500000E-02, 6.2500000E-01,0,
 2.400000000E+01, 3.6093750E+01,-6.2500000E-02, 1.2500000E+00,0,
 2.450000000E+01, 3.3750000E+01,-3.1250000E-02, 0.0000000E+00,0,
 2.500000000E+01, 3.4843750E+01,-3.1250000E-02,-6.2500000E-01,0,
 2.550000000E+01, 2.8750000E+01,-6.2500000E-02,-8.1250000E+00,0,
 2.600000000E+01, 3.4531250E+01,-6.2500000E-02, 0.0000000E+00,0,
 2.650000000E+01, 2.1250000E+01,-6.2500000E-02, 6.2500000E-01,0,
 2.700000000E+01, 3.5468750E+01,-6.2500000E-02, 0.0000000E+00,0,
 2.750000000E+01, 3.5781250E+01,-6.2500000E-02, 9.3750000E-01,0,
 2.800000000E+01, 3.4843750E+01,-3.1250000E-02, 0.0000000E+00,0,
 2.850000000E+01, 3.6093750E+01,-9.3750000E-02, 6.2500000E-01,0,
 2.900000000E+01, 3.6562500E+01,-6.2500000E-02, 0.0000000E+00,0,
 2.950000000E+01, 3.5781250E+01,-6.2500000E-02, 3.1250000E-01,0,
 3.000000000E+01, 3.5468750E+01,-6.2500000E-02, 0.0000000E+00,0,
 3.050000000E+01, 3.5781250E+01,-3.1250000E-02,-6.2500000E-01,0,
 3.100000000E+01, 2.9218750E+01, 0.0000000E+00,-8.7500000E+00,0,
 3.150000000E+01, 3.5000000E+01, 0.0000000E+00, 6.2500000E-01,0,
 3.200000000E+01, 3.6093750E+01,-9.3750000E-02,-3.1250000E-01,0,
 3.250000000E+01, 3.4843750E+01,-6.2500000E-02, 0.0000000E+00,0,
 3.300000000E+01, 3.6562500E+01,-3.1250000E-02, 6.2500000E-01,0,
 3.350000000E+01, 3.4687500E+01, 0.0000000E+00,-6.2500000E-01,0,
 3.400000000E+01, 3.6250000E+01,-6.2500000E-02, 0.0000000E+00,0,
 3.450000000E+01, 3.6718750E+01,-9.3750000E-02, 6.2500000E-01,0,
 3.500000000E+01, 3.6250000E+01,-9.3750000E-02, 9.3750000E-01,0,
 3.550000000E+01, 3.5781250E+01,-6.2500000E-02,-9.3750000E-01,0,
 3.600000000E+01, 3.4843750E+01,-6.2500000E-02,-3.1250000E-01,0,
 3.650000000E+01, 2.2031250E+01,-3.1250000E-02, 0.0000000E+00,0,
 3.700000000E+01, 2.4218750E+01,-3.1250000E-02,-2.5000000E+00,0,
 3.750000000E+01, 3.5781250E+01,-6.2500000E-02, 0.0000000E+00,0,
 3.800000000E+01, 2.5781250E+01,-3.1250000E-02,-3.4375000E+00,0,
 3.850000000E+01, 3.6093750E+01,-3.1250000E-02, 6.2500000E-01,0,
 3.900000000E+01, 3.5312500E+01,-3.1250000E-02,-3.1250000E-01,0,
 3.950000000E+01, 3.6406250E+01,-6.2500000E-02, 0.0000000E+00,0,
 4.000000000E+01, 3.5312500E+01,-3.1250000E-02, 6.2500000E-01,0,
 4.050000000E+01, 3.6406250E+01,-3.1250000E-02, 6.2500000E-01,0,
 4.100000000E+01, 2.4531250E+01, 0.0000000E+00,-3.4375000E+00,0,
 4.150000000E+01, 3.6250000E+01,-6.2500000E-02, 9.3750000E-01,0,
 4.200000000E+01, 3.4375000E+01,-3.1250000E-02, 0.0000000E+00,0,
 4.250000000E+01, 3.7031250E+01,-3.1250000E-02, 6.2500000E-01,0,
 4.300000000E+01, 3.6250000E+01,-3.1250000E-02, 6.2500000E-01,0,
 4.350000000E+01, 3.4843750E+01,-3.1250000E-02, 6.2500000E-01,0,
 4.400000000E+01, 3.6718750E+01,-6.2500000E-02, 1.2500000E+00,0,
 4.450000000E+01, 3.6718750E+01,-3.1250000E-02, 0.0000000E+00,0,
 4.500000000E+01, 3.5937500E+01,-6.2500000E-02, 0.0000000E+00,0,
 4.550000000E+01, 3.6093750E+01,-3.1250000E-02,-3.1250000E-01,0,
 4.600000000E+01, 3.6875000E+01,-3.1250000E-02, 3.1250000E-01,0,
 4.650000000E+01, 3.4531250E+01,-3.1250000E-02, 0.0000000E+00,0,
 4.700000000E+01, 3.6875000E+01,-3.1250000E-02, 6.2500000E-01,0,
 4.750000000E+01, 3.5156250E+01,-6.2500000E-02, 0.0000000E+00,0,
 4.800000000E+01, 3.6875000E+01,-6.2500000E-02, 3.1250000E-01,0,
 4.850000000E+01, 2.1250000E+01,-1.2500000E-01, 2.5000000E+00,0,
 4.900000000E+01, 3.7500000E+01,-6.2500000E-02, 3.1250000E-01,0,
 4.950000000E+01, 3.6250000E+01,-6.2500000E-02,-3.1250000E-01,0,
 5.000000000E+01, 3.6562500E+01,-3.1250000E-02, 9.3750000E-01,0,
 5.050000000E+01, 3.3750000E+01,-6.2500000E-02, 9.3750000E-01,0,
 5.100000000E+01, 3.6562500E+01,-6.2500000E-02,-3.1250000E-01,0,
 5.150000000E+01, 3.6406250E+01,-6.2500000E-02, 0.0000000E+00,0,
 5.200000000E+01, 3.6718750E+01,-6.2500000E-02, 9.3750000E-01,0,
 5.250000000E+01, 3.0156250E+01,-9.3750000E-02, 3.1250000E+00,0,
 5.300000000E+01, 3.4375000E+01,-6.2500000E-02,-3.1250000E-01,0,
 5.350000000E+01, 3.2343750E+01,-3.1250000E-02,-3.1250000E-01,0,
 5.400000000E+01, 2.7968750E+01,-6.2500000E-02,-8.4375000E+00,0,
 5.450000000E+01, 3.3281250E+01,-3.1250000E-02,-3.1250000E-01,0,
 5.500000000E+01, 2.1093750E+01,-6.2500000E-02, 8.1250000E+00,0,
 5.550000000E+01, 2.2031250E+01,-3.1250000E-02,-2.1875000E+00,0,
 5.600000000E+01, 3.3593750E+01,-3.1250000E-02,-6.2500000E-01,0,
 5.650000000E+01, 2.8906250E+01,-6.2500000E-02,-7.5000000E+00,0,
 5.700000000E+01, 3.2343750E+01,-6.2500000E-02,-6.2500000E-01,0,
 5.750000000E+01, 2.9687500E+01,-9.3750000E-02, 2.1875000E+00,0,
 5.800000000E+01, 3.3125000E+01,-6.2500000E-02,-6.2500000E-01,0,
 5.850000000E+01, 3.5156250E+01,-6.2500000E-02,-3.1250000E-01,0,
 5.900000000E+01, 3.4843750E+01,-3.1250000E-02, 6.2500000E-01,0,
 5.950000000E+01, 2.8906250E+01,-6.2500000E-02,-9.0625000E+00,0,
 6.000000000E+01, 3.5000000E+01,-6.2500000E-02, 0.0000000E+00,0,
 6.050000000E+01, 3.2812500E+01,-3.1250000E-02,-3.1250000E-01,0,
 6.100000000E+01, 3.4218750E+01,-6.2500000E-02, 6.2500000E-01,0,
 6.150000000E+01, 2.0156250E+01,-6.2500000E-02, 1.8750000E+00,0,
