Time,CH1[V]
0,-0.625
1,-0.78125
2,-0.46875
3,-0.625
4,-0.46875
5,-0.78125
6,-0.625
7,-0.625
8,-0.625
9,-0.625
10,-0.625
11,-0.625
12,-0.625
13,-0.3125
14,-0.625
15,-0.625
16,-0.625
17,-0.625
18,-0.625
19,-0.625
20,-0.625
21,-0.625
22,-0.46875
23,-0.625
24,-0.46875
25,-0.625
26,-0.625
27,-0.625
28,-0.625
29,-0.625
30,-0.625
31,-0.625
32,-0.625
33,-0.625
34,-0.625
35,-0.625
36,-0.46875
37,-0.625
38,-0.625
39,-0.625
40,-0.625
41,-0.46875
42,-0.46875
43,-0.625
44,-0.625
45,-0.625
46,-0.625
47,-0.625
48,-0.625
49,-0.625
50,-0.78125
51,-0.625
52,-0.625
53,-0.625
54,-0.625
55,-0.625
56,-0.625
57,-0.46875
58,-0.625
59,-0.46875
60,-0.625
61,-0.625
62,-0.46875
63,-0.625
64,-0.625
65,-0.625
66,-0.625
67,-0.625
68,-0.625
69,-0.78125
70,-0.625
71,-0.625
72,-0.625
73,-0.625
74,-0.78125
75,-0.625
76,-0.625
77,-0.625
78,-0.46875
79,-0.625
80,-0.625
81,-0.625
82,-0.46875
83,-0.625
84,-0.625
85,-0.625
86,-0.46875
87,-0.625
88,-0.625
89,-0.625
90,-0.625
91,-0.46875
92,-0.78125
93,-0.625
94,-0.625
95,-0.46875
96,-0.625
97,-0.625
98,-0.625
99,-0.625
100,-0.625
101,-0.625
102,-0.625
103,-0.625
104,-0.625
105,-0.625
106,-0.625
107,-0.625
108,-0.625
109,-0.625
110,-0.625
111,-0.625
112,-0.46875
113,-0.625
114,-0.625
115,-0.625
116,-0.625
117,-0.46875
118,-0.625
119,-0.625
120,-0.625
121,-0.625
122,-0.625
123,-0.625
124,-0.78125
125,-0.46875
126,-0.625
127,-0.625
128,-0.625
129,-0.78125
130,-0.78125
131,-0.625
132,-0.625
133,-0.625
134,-0.625
135,-0.78125
136,-0.625
137,-0.46875
138,-0.625
139,-0.625
140,-0.625
141,-0.625
142,-0.625
143,-0.78125
144,-0.625
145,-0.78125
146,-0.625
147,-0.625
148,-0.625
149,-0.625
150,-0.625
151,-0.625
152,-0.625
153,-0.625
154,-0.46875
155,-0.625
156,-0.625
157,-0.46875
158,-0.625
159,-0.625
160,-0.625
161,-0.625
162,-0.625
163,-0.78125
164,-0.625
165,-0.625
166,-0.625
167,-0.625
168,-0.625
169,-0.78125
170,-0.625
171,-0.78125
172,-0.46875
173,-0.625
174,-0.625
175,-0.625
176,-0.625
177,-0.625
178,-0.625
179,-0.78125
180,-0.78125
181,-0.625
182,-0.78125
183,-0.46875
184,-0.625
185,-0.625
186,-0.625
187,-0.625
188,-0.625
189,-0.78125
190,-0.625
191,-0.625
192,-0.46875
193,-0.78125
194,-0.625
195,-0.625
196,-0.625
197,-0.78125
198,-0.78125
199,-0.625
200,-0.625
201,-0.625
202,-0.625
203,-0.625
204,-0.625
205,-0.625
206,-0.625
207,-0.625
208,-0.625
209,-0.625
210,-0.625
211,-0.46875
212,-0.625
213,-0.625
214,-0.625
215,-0.625
216,-0.78125
217,-0.625
218,-0.625
219,-0.625
220,-0.625
221,-0.625
222,-0.625
223,-0.625
224,-0.625
225,-0.625
226,-0.625
227,-0.625
228,-0.625
229,-0.625
230,-0.625
231,-0.625
232,-0.78125
233,-0.625
234,-0.625
235,-0.78125
236,-0.625
237,-0.625
238,-0.625
239,-0.625
240,-0.625
241,-0.78125
242,-0.625
243,-0.625
244,-0.625
245,-0.625
246,-0.46875
247,-0.78125
248,-0.625
249,-0.625
250,-0.625
251,-0.625
252,-0.625
253,-0.625
254,-0.625
255,-0.625
256,-0.46875
257,-0.78125
258,-0.625
259,-0.78125
260,-0.625
261,-0.625
262,-0.625
263,-0.625
264,-0.78125
265,-0.625
266,-0.625
267,-0.625
268,-0.625
269,-0.46875
270,-0.78125
271,-0.625
272,-0.78125
273,-0.625
274,-0.78125
275,-0.625
276,-0.625
277,-0.625
278,-0.78125
279,-0.625
280,-0.78125
281,-0.78125
282,-0.625
283,-0.625
284,-0.625
285,-0.46875
286,-0.78125
287,-0.625
288,-0.625
289,-0.78125
290,-0.78125
291,-0.625
292,-0.46875
293,-0.625
294,-0.625
295,-0.625
296,-0.625
297,-0.46875
298,-0.78125
299,-0.625
300,-0.78125
301,-0.625
302,-0.78125
303,-0.78125
304,-0.78125
305,-0.78125
306,-0.78125
307,-0.625
308,-0.625
309,-0.78125
310,-0.625
311,-0.625
312,-0.625
313,-0.78125
314,-0.78125
315,-0.625
316,-0.78125
317,-0.78125
318,-0.625
319,-0.625
320,-0.625
321,-0.625
322,-0.625
323,-0.625
324,-0.625
325,-0.625
326,-0.625
327,-0.625
328,-0.625
329,-0.625
330,-0.625
331,-0.625
332,-0.625
333,-0.78125
334,-0.625
335,-0.78125
336,-0.625
337,-0.625
338,-0.78125
339,-0.625
340,-0.625
341,-0.625
342,-0.78125
343,-0.625
344,-0.625
345,-0.625
346,-0.78125
347,-0.625
348,-0.625
349,-0.78125
350,-0.625
351,-0.625
352,-0.625
353,-0.625
354,-0.78125
355,-0.625
356,-0.625
357,-0.625
358,-0.625
359,-0.78125
360,-0.625
361,-0.625
362,-0.625
363,-0.46875
364,-0.625
365,-0.78125
366,-0.625
367,-0.625
368,-0.625
369,-0.78125
370,-0.625
371,-0.78125
372,-0.625
373,-0.625
374,-0.78125
375,-0.78125
376,-0.625
377,-0.625
378,-0.78125
379,-0.78125
380,-0.78125
381,-0.78125
382,-0.78125
383,-0.78125
384,-0.625
385,-0.625
386,-0.78125
387,-0.625
388,-0.78125
389,-0.625
390,-0.78125
391,-0.625
392,-0.625
393,-0.625
394,-0.625
395,-0.625
396,-0.625
397,-0.625
398,-0.625
399,-0.625
400,-0.78125
401,-0.78125
402,-0.78125
403,-0.625
404,-0.625
405,-0.625
406,-0.625
407,-0.78125
408,-0.625
409,-0.625
410,-0.78125
411,-0.46875
412,-0.78125
413,-0.625
414,-0.78125
415,-0.78125
416,-0.625
417,-0.78125
418,-0.78125
419,-0.625
420,-0.625
421,-0.78125
422,-0.78125
