éûçè,cell_1(V),cell_2(V),cell_3(V),cell_4(V),cell_5(V),cell_6(V),cell_7(V),cell_8(V),cell_9(V),cell_10(V),cell_11(V),cell_12(V),cell_13(V),cell_14(V),cell_15(V),cell_16(V)
11:23:27,3.3387,3.3377,3.3371,3.338,3.3372,3.3381,3.3383,3.3422,3.3398,3.3392,3.3386,3.3427,3.3408,3.3396,3.3404,3.3393
11:23:28,3.3385,3.3377,3.3383,3.338,3.3374,3.3386,3.3376,3.3424,3.3401,3.3388,3.3385,3.3434,3.3403,3.3396,3.3404,3.3397
11:23:29,3.3385,3.3377,3.3383,3.338,3.3374,3.3386,3.3376,3.3424,3.3401,3.3388,3.3385,3.3434,3.3401,3.3399,3.34,3.3393
11:23:30,3.3369,3.3375,3.338,3.3374,3.3375,3.3378,3.3373,3.3424,3.3405,3.339,3.3395,3.3439,3.3396,3.3394,3.34,3.3393
11:23:31,3.3376,3.3374,3.3373,3.3376,3.337,3.3381,3.3375,3.3419,3.3403,3.339,3.3383,3.3443,3.3403,3.3394,3.3406,3.3393
11:23:32,3.3378,3.3374,3.3376,3.3378,3.3379,3.3372,3.3378,3.3428,3.3401,3.3392,3.3395,3.3429,3.3403,3.3398,3.3397,3.3393
11:23:33,3.339,3.3374,3.3373,3.3381,3.3375,3.3381,3.3389,3.3422,3.3401,3.3395,3.3385,3.3434,3.3406,3.3394,3.3402,3.3393
11:23:34,3.3373,3.3377,3.3385,3.3378,3.3375,3.339,3.3376,3.3422,3.3406,3.3392,3.3386,3.3431,3.3392,3.3398,3.3404,3.3399
11:23:35,3.3388,3.3374,3.3378,3.3378,3.3374,3.3379,3.3385,3.3421,3.3398,3.34,3.3388,3.3436,3.3406,3.3398,3.34,3.3395
11:23:36,3.3373,3.3379,3.3369,3.3383,3.3381,3.3378,3.3376,3.3424,3.341,3.339,3.3385,3.3431,3.3406,3.3398,3.34,3.3395
11:23:37,3.3385,3.3372,3.3371,3.3381,3.3374,3.3381,3.3385,3.3422,3.3398,3.3397,3.339,3.3434,3.3408,3.3398,3.3404,3.3397
11:23:38,3.3385,3.3372,3.3371,3.3381,3.3374,3.3381,3.3385,3.3422,3.3398,3.3397,3.339,3.3434,3.3394,3.3399,3.3399,3.3395
11:23:39,3.338,3.3377,3.3381,3.338,3.337,3.3383,3.3378,3.3421,3.3394,3.3397,3.339,3.3438,3.3403,3.3399,3.34,3.3397
11:23:40,3.3388,3.3375,3.3376,3.3378,3.3381,3.3376,3.3382,3.3424,3.3394,3.3393,3.3392,3.3425,3.3406,3.3394,3.34,3.3397
11:23:41,3.3388,3.3375,3.3376,3.3378,3.3381,3.3376,3.3382,3.3424,3.3394,3.3393,3.3392,3.3425,3.3399,3.3396,3.34,3.3397
11:23:42,3.3381,3.3374,3.3374,3.3383,3.3377,3.3378,3.3378,3.3426,3.3399,3.3392,3.339,3.3429,3.3404,3.3398,3.34,3.3393
11:23:43,3.3376,3.3367,3.3378,3.3381,3.3374,3.3385,3.3382,3.3419,3.3399,3.3397,3.3386,3.3434,3.3394,3.3391,3.34,3.3397
11:23:44,3.3375,3.3372,3.3373,3.338,3.3381,3.3378,3.3383,3.3428,3.3396,3.3392,3.3395,3.3439,3.3403,3.3396,3.3397,3.3395
11:23:45,3.338,3.3374,3.3378,3.3376,3.3377,3.338,3.338,3.3421,3.3398,3.3395,3.3386,3.3432,3.3404,3.3396,3.34,3.3393
11:23:46,3.3376,3.3379,3.3376,3.3378,3.3384,3.3378,3.3377,3.3424,3.3396,3.3393,3.3388,3.3434,3.3402,3.3398,3.34,3.3393
11:23:47,3.3389,3.3375,3.3375,3.3382,3.3379,3.3376,3.3384,3.3417,3.3393,3.3399,3.339,3.3431,3.3399,3.3403,3.3399,3.3395
11:23:48,3.3373,3.3377,3.338,3.3374,3.3375,3.3385,3.3375,3.3426,3.3405,3.3386,3.3393,3.3436,3.3401,3.3394,3.3402,3.3397
11:23:49,3.339,3.3377,3.3378,3.338,3.3372,3.3385,3.3376,3.3417,3.3403,3.3393,3.3385,3.3436,3.3394,3.3398,3.34,3.3398
11:23:50,3.3376,3.3377,3.3371,3.3374,3.3382,3.3378,3.3382,3.3419,3.3398,3.3388,3.3392,3.3434,3.3402,3.3399,3.3402,3.3391
11:23:51,3.339,3.3372,3.3371,3.3374,3.3382,3.3378,3.3382,3.3419,3.3398,3.3395,3.339,3.3427,3.3394,3.3396,3.3397,3.3397
11:23:52,3.3376,3.3375,3.3376,3.3381,3.3381,3.3376,3.3382,3.3424,3.3398,3.3395,3.3388,3.3425,3.3404,3.3396,3.34,3.3395
11:23:53,3.3392,3.3374,3.3373,3.3383,3.3372,3.338,3.3387,3.341,3.3393,3.3395,3.3383,3.3431,3.3401,3.3396,3.3402,3.3395
11:23:54,3.338,3.3372,3.338,3.3378,3.3372,3.338,3.3378,3.3419,3.3408,3.3395,3.3383,3.3431,3.3392,3.3391,3.3402,3.3397
11:23:55,3.3385,3.3372,3.3383,3.3385,3.3374,3.3376,3.3383,3.3421,3.34,3.3397,3.3386,3.3429,3.3404,3.3398,3.3399,3.3393
11:23:56,3.3376,3.3375,3.338,3.338,3.3375,3.3381,3.338,3.3426,3.34,3.3386,3.3393,3.3429,3.3395,3.3399,3.3402,3.3397
11:23:57,3.3385,3.3375,3.3376,3.338,3.3375,3.3376,3.3382,3.3426,3.34,3.3386,3.3393,3.3429,3.3399,3.3396,3.3397,3.3395
11:23:58,3.338,3.3372,3.3371,3.3378,3.3374,3.3381,3.3378,3.3424,3.34,3.3393,3.3392,3.3434,3.339,3.3396,3.3397,3.3397
11:23:59,3.3387,3.3372,3.3376,3.3383,3.337,3.3381,3.3378,3.3416,3.3403,3.3385,3.3386,3.3434,3.3401,3.3399,3.3402,3.3395
11:24:00,3.3378,3.3375,3.3378,3.338,3.3379,3.3378,3.3375,3.3428,3.3408,3.339,3.3388,3.3434,3.3401,3.3396,3.3397,3.3395
