"ファイル名","WAVE0001.CSV","V1.11"
"タイトルコメント",""
"トリガ時刻","'23-11-16 15:38:10"
"CH","CH1","CH2","CH3",
"Mode","DC","DC","DC",
"Range","100V","20V","1V",
"Comment","","","",
"Scaling","OFF","OFF","ON",
"Ratio"," 1.00000E+00"," 1.00000E+00"," 2.00000E+02",
"Offset"," 0.00000E+00"," 0.00000E+00"," 0.00000E+00",
"Time","CH1[V]","CH2[V]","CH3[A]","Event"
 0.000000000E+00,-6.2500000E-01,-6.2500000E-02, 0.0000000E+00,0,
 1.000000000E-01,-6.2500000E-01,-9.3750000E-02, 6.2500000E-01,0,
 2.000000000E-01,-7.8125000E-01,-9.3750000E-02, 6.2500000E-01,0,
 3.000000000E-01,-6.2500000E-01,-6.2500000E-02, 9.3750000E-01,0,
 4.000000000E-01,-7.8125000E-01,-9.3750000E-02, 0.0000000E+00,0,
 5.000000000E-01,-6.2500000E-01,-6.2500000E-02, 9.3750000E-01,0,
 6.000000000E-01,-6.2500000E-01,-9.3750000E-02, 9.3750000E-01,0,
 7.000000000E-01,-6.2500000E-01,-9.3750000E-02, 1.2500000E+00,0,
 8.000000000E-01,-7.8125000E-01,-9.3750000E-02, 9.3750000E-01,0,
 9.000000000E-01,-6.2500000E-01,-9.3750000E-02, 6.2500000E-01,0,
 1.000000000E+00,-7.8125000E-01,-9.3750000E-02, 9.3750000E-01,0,
 1.100000000E+00,-7.8125000E-01,-6.2500000E-02, 1.5625000E+00,0,
 1.200000000E+00,-7.8125000E-01,-6.2500000E-02, 3.1250000E-01,0,
 1.300000000E+00,-7.8125000E-01,-6.2500000E-02, 3.1250000E-01,0,
 1.400000000E+00,-6.2500000E-01,-6.2500000E-02, 3.1250000E-01,0,
 1.500000000E+00,-7.8125000E-01,-6.2500000E-02, 6.2500000E-01,0,
 1.600000000E+00,-6.2500000E-01,-6.2500000E-02, 6.2500000E-01,0,
 1.700000000E+00,-6.2500000E-01,-9.3750000E-02, 3.1250000E-01,0,
 1.800000000E+00,-6.2500000E-01,-6.2500000E-02, 1.2500000E+00,0,
 1.900000000E+00,-6.2500000E-01,-6.2500000E-02, 6.2500000E-01,0,
 2.000000000E+00,-6.2500000E-01,-9.3750000E-02, 9.3750000E-01,0,
 2.100000000E+00,-6.2500000E-01,-6.2500000E-02, 9.3750000E-01,0,
 2.200000000E+00,-7.8125000E-01,-6.2500000E-02, 3.1250000E-01,0,
 2.300000000E+00,-7.8125000E-01,-6.2500000E-02, 3.1250000E-01,0,
 2.400000000E+00,-7.8125000E-01,-6.2500000E-02, 6.2500000E-01,0,
 2.500000000E+00,-7.8125000E-01,-9.3750000E-02, 3.1250000E-01,0,
 2.600000000E+00,-7.8125000E-01,-6.2500000E-02, 1.5625000E+00,0,
 2.700000000E+00,-7.8125000E-01,-9.3750000E-02, 6.2500000E-01,0,
 2.800000000E+00,-6.2500000E-01,-6.2500000E-02, 6.2500000E-01,0,
 2.900000000E+00,-6.2500000E-01,-3.1250000E-02, 1.2500000E+00,0,
 3.000000000E+00,-6.2500000E-01,-6.2500000E-02, 1.2500000E+00,0,
 3.100000000E+00,-6.2500000E-01,-6.2500000E-02, 9.3750000E-01,0,
 3.200000000E+00,-6.2500000E-01,-6.2500000E-02, 6.2500000E-01,0,
 3.300000000E+00,-6.2500000E-01,-3.1250000E-02, 6.2500000E-01,0,
 3.400000000E+00,-7.8125000E-01,-9.3750000E-02, 0.0000000E+00,0,
 3.500000000E+00,-6.2500000E-01,-6.2500000E-02, 6.2500000E-01,0,
 3.600000000E+00,-7.8125000E-01,-9.3750000E-02, 6.2500000E-01,0,
 3.700000000E+00,-7.8125000E-01,-6.2500000E-02, 9.3750000E-01,0,
 3.800000000E+00,-6.2500000E-01,-3.1250000E-02, 3.1250000E-01,0,
 3.900000000E+00,-7.8125000E-01,-6.2500000E-02,-6.2500000E-01,0,
 4.000000000E+00,-7.8125000E-01,-9.3750000E-02, 6.2500000E-01,0,
 4.100000000E+00,-6.2500000E-01,-6.2500000E-02, 9.3750000E-01,0,
 4.200000000E+00,-6.2500000E-01,-6.2500000E-02, 6.2500000E-01,0,
 4.300000000E+00,-6.2500000E-01,-6.2500000E-02, 3.1250000E-01,0,
 4.400000000E+00,-6.2500000E-01,-6.2500000E-02, 3.1250000E-01,0,
 4.500000000E+00,-7.8125000E-01,-6.2500000E-02, 6.2500000E-01,0,
 4.600000000E+00,-7.8125000E-01,-6.2500000E-02, 9.3750000E-01,0,
 4.700000000E+00,-7.8125000E-01,-3.1250000E-02, 3.1250000E-01,0,
 4.800000000E+00,-6.2500000E-01,-6.2500000E-02, 9.3750000E-01,0,
 4.900000000E+00,-6.2500000E-01,-6.2500000E-02, 3.1250000E-01,0,
 5.000000000E+00,-6.2500000E-01,-9.3750000E-02, 6.2500000E-01,0,
 5.100000000E+00,-6.2500000E-01,-9.3750000E-02, 3.1250000E-01,0,
 5.200000000E+00,-6.2500000E-01,-6.2500000E-02, 6.2500000E-01,0,
 5.300000000E+00,-6.2500000E-01,-6.2500000E-02, 1.5625000E+00,0,
 5.400000000E+00,-7.8125000E-01,-9.3750000E-02, 0.0000000E+00,0,
 5.500000000E+00,-6.2500000E-01,-9.3750000E-02, 1.2500000E+00,0,
 5.600000000E+00,-6.2500000E-01,-9.3750000E-02, 1.2500000E+00,0,
 5.700000000E+00,-6.2500000E-01,-6.2500000E-02, 6.2500000E-01,0,
 5.800000000E+00,-6.2500000E-01,-6.2500000E-02, 3.1250000E-01,0,
 5.900000000E+00,-6.2500000E-01,-9.3750000E-02, 6.2500000E-01,0,
 6.000000000E+00,-6.2500000E-01,-3.1250000E-02, 9.3750000E-01,0,
 6.100000000E+00,-6.2500000E-01,-6.2500000E-02, 9.3750000E-01,0,
 6.200000000E+00,-7.8125000E-01,-3.1250000E-02, 9.3750000E-01,0,
 6.300000000E+00,-7.8125000E-01,-3.1250000E-02, 1.2500000E+00,0,
 6.400000000E+00,-6.2500000E-01,-6.2500000E-02, 9.3750000E-01,0,
 6.500000000E+00,-7.8125000E-01,-9.3750000E-02, 3.1250000E-01,0,
 6.600000000E+00,-6.2500000E-01,-9.3750000E-02, 0.0000000E+00,0,
 6.700000000E+00,-6.2500000E-01,-3.1250000E-02, 3.1250000E-01,0,
 6.800000000E+00,-6.2500000E-01,-6.2500000E-02, 3.1250000E-01,0,
 6.900000000E+00,-6.2500000E-01,-9.3750000E-02, 3.1250000E-01,0,
 7.000000000E+00,-7.8125000E-01,-6.2500000E-02, 3.1250000E-01,0,
 7.100000000E+00,-6.2500000E-01,-6.2500000E-02, 1.5625000E+00,0,
 7.200000000E+00,-7.8125000E-01,-6.2500000E-02, 6.2500000E-01,0,
 7.300000000E+00,-6.2500000E-01,-3.1250000E-02, 6.2500000E-01,0,
 7.400000000E+00,-6.2500000E-01,-6.2500000E-02, 6.2500000E-01,0,
 7.500000000E+00,-6.2500000E-01,-6.2500000E-02, 6.2500000E-01,0,
 7.600000000E+00,-6.2500000E-01,-6.2500000E-02, 6.2500000E-01,0,
 7.700000000E+00,-6.2500000E-01,-9.3750000E-02, 1.5625000E+00,0,
 7.800000000E+00,-7.8125000E-01,-9.3750000E-02, 9.3750000E-01,0,
 7.900000000E+00,-7.8125000E-01,-1.2500000E-01, 1.2500000E+00,0,
 8.000000000E+00,-6.2500000E-01,-6.2500000E-02, 0.0000000E+00,0,
 8.100000000E+00,-7.8125000E-01,-6.2500000E-02, 0.0000000E+00,0,
 8.200000000E+00,-7.8125000E-01,-9.3750000E-02, 0.0000000E+00,0,
 8.300000000E+00,-6.2500000E-01,-6.2500000E-02, 6.2500000E-01,0,
 8.400000000E+00,-6.2500000E-01,-6.2500000E-02, 6.2500000E-01,0,
 8.500000000E+00,-6.2500000E-01,-6.2500000E-02, 9.3750000E-01,0,
 8.600000000E+00,-6.2500000E-01,-9.3750000E-02, 6.2500000E-01,0,
 8.700000000E+00,-7.8125000E-01,-6.2500000E-02, 6.2500000E-01,0,
 8.800000000E+00,-6.2500000E-01,-3.1250000E-02, 9.3750000E-01,0,
 8.900000000E+00,-7.8125000E-01,-6.2500000E-02, 1.2500000E+00,0,
 9.000000000E+00,-7.8125000E-01,-9.3750000E-02, 3.1250000E-01,0,
 9.100000000E+00,-7.8125000E-01,-6.2500000E-02, 1.2500000E+00,0,
 9.200000000E+00,-7.8125000E-01,-6.2500000E-02, 1.5625000E+00,0,
 9.300000000E+00,-7.8125000E-01,-9.3750000E-02,-6.2500000E-01,0,
 9.400000000E+00,-6.2500000E-01,-9.3750000E-02, 3.1250000E-01,0,
 9.500000000E+00,-7.8125000E-01,-9.3750000E-02, 6.2500000E-01,0,
 9.600000000E+00,-6.2500000E-01,-9.3750000E-02, 1.5625000E+00,0,
 9.700000000E+00,-6.2500000E-01,-1.2500000E-01, 1.5625000E+00,0,
 9.800000000E+00,-7.8125000E-01,-6.2500000E-02, 6.2500000E-01,0,
 9.900000000E+00,-7.8125000E-01,-9.3750000E-02, 6.2500000E-01,0,
 1.000000000E+01,-6.2500000E-01,-6.2500000E-02, 9.3750000E-01,0,
 1.010000000E+01,-6.2500000E-01,-6.2500000E-02, 0.0000000E+00,0,
 1.020000000E+01,-6.2500000E-01,-9.3750000E-02, 0.0000000E+00,0,
 1.030000000E+01,-6.2500000E-01,-6.2500000E-02, 6.2500000E-01,0,
 1.040000000E+01,-6.2500000E-01,-6.2500000E-02, 6.2500000E-01,0,
 1.050000000E+01,-6.2500000E-01,-9.3750000E-02, 6.2500000E-01,0,
 1.060000000E+01,-7.8125000E-01,-6.2500000E-02, 1.2500000E+00,0,
 1.070000000E+01,-7.8125000E-01,-6.2500000E-02, 3.1250000E-01,0,
 1.080000000E+01,-6.2500000E-01,-6.2500000E-02, 9.3750000E-01,0,
 1.090000000E+01,-6.2500000E-01,-9.3750000E-02, 3.1250000E-01,0,
 1.100000000E+01,-7.8125000E-01,-9.3750000E-02, 0.0000000E+00,0,
 1.110000000E+01,-6.2500000E-01,-1.2500000E-01, 3.1250000E-01,0,
 1.120000000E+01,-6.2500000E-01,-6.2500000E-02, 6.2500000E-01,0,
 1.130000000E+01,-7.8125000E-01,-9.3750000E-02, 3.1250000E-01,0,
 1.140000000E+01,-7.8125000E-01,-6.2500000E-02,-6.2500000E-01,0,
 1.150000000E+01,-6.2500000E-01,-9.3750000E-02, 6.2500000E-01,0,
 1.160000000E+01,-6.2500000E-01,-6.2500000E-02, 0.0000000E+00,0,
 1.170000000E+01,-7.8125000E-01,-9.3750000E-02, 9.3750000E-01,0,
 1.180000000E+01,-6.2500000E-01,-9.3750000E-02, 3.1250000E-01,0,
 1.190000000E+01,-7.8125000E-01,-6.2500000E-02, 0.0000000E+00,0,
 1.200000000E+01,-6.2500000E-01,-6.2500000E-02, 6.2500000E-01,0,
 1.210000000E+01,-6.2500000E-01,-6.2500000E-02, 9.3750000E-01,0,
 1.220000000E+01,-7.8125000E-01,-9.3750000E-02, 9.3750000E-01,0,
 1.230000000E+01,-7.8125000E-01,-6.2500000E-02, 3.1250000E-01,0,
 1.240000000E+01,-6.2500000E-01,-6.2500000E-02, 3.1250000E-01,0,
 1.250000000E+01,-7.8125000E-01,-9.3750000E-02, 1.2500000E+00,0,
 1.260000000E+01,-6.2500000E-01,-6.2500000E-02, 1.5625000E+00,0,
 1.270000000E+01,-7.8125000E-01,-9.3750000E-02, 3.1250000E-01,0,
 1.280000000E+01,-7.8125000E-01,-9.3750000E-02, 1.5625000E+00,0,
 1.290000000E+01,-6.2500000E-01,-1.2500000E-01, 1.2500000E+00,0,
 1.300000000E+01,-6.2500000E-01,-9.3750000E-02, 0.0000000E+00,0,
 1.310000000E+01,-7.8125000E-01,-6.2500000E-02, 6.2500000E-01,0,
 1.320000000E+01,-6.2500000E-01,-9.3750000E-02, 9.3750000E-01,0,
 1.330000000E+01,-6.2500000E-01,-6.2500000E-02, 9.3750000E-01,0,
 1.340000000E+01,-7.8125000E-01,-6.2500000E-02, 1.2500000E+00,0,
 1.350000000E+01,-7.8125000E-01,-1.2500000E-01, 9.3750000E-01,0,
 1.360000000E+01,-6.2500000E-01,-6.2500000E-02, 9.3750000E-01,0,
 1.370000000E+01,-6.2500000E-01,-9.3750000E-02, 6.2500000E-01,0,
 1.380000000E+01,-6.2500000E-01,-6.2500000E-02, 6.2500000E-01,0,
 1.390000000E+01,-6.2500000E-01,-6.2500000E-02, 6.2500000E-01,0,
 1.400000000E+01,-6.2500000E-01,-6.2500000E-02, 6.2500000E-01,0,
 1.410000000E+01,-7.8125000E-01,-6.2500000E-02, 9.3750000E-01,0,
 1.420000000E+01,-7.8125000E-01,-6.2500000E-02, 0.0000000E+00,0,
 1.430000000E+01,-6.2500000E-01,-9.3750000E-02, 6.2500000E-01,0,
 1.440000000E+01,-6.2500000E-01,-6.2500000E-02, 9.3750000E-01,0,
 1.450000000E+01,-6.2500000E-01,-6.2500000E-02,-3.1250000E-01,0,
 1.460000000E+01,-7.8125000E-01,-6.2500000E-02, 6.2500000E-01,0,
 1.470000000E+01,-7.8125000E-01,-9.3750000E-02, 9.3750000E-01,0,
 1.480000000E+01,-7.8125000E-01,-9.3750000E-02, 6.2500000E-01,0,
 1.490000000E+01,-6.2500000E-01,-6.2500000E-02, 3.1250000E-01,0,
 1.500000000E+01,-6.2500000E-01,-6.2500000E-02, 6.2500000E-01,0,
 1.510000000E+01,-6.2500000E-01,-1.2500000E-01, 9.3750000E-01,0,
 1.520000000E+01,-6.2500000E-01,-6.2500000E-02, 6.2500000E-01,0,
 1.530000000E+01,-6.2500000E-01,-1.2500000E-01, 6.2500000E-01,0,
 1.540000000E+01,-7.8125000E-01,-9.3750000E-02, 9.3750000E-01,0,
 1.550000000E+01,-7.8125000E-01,-6.2500000E-02, 9.3750000E-01,0,
 1.560000000E+01,-4.6875000E-01,-9.3750000E-02, 6.2500000E-01,0,
 1.570000000E+01,-7.8125000E-01,-6.2500000E-02, 6.2500000E-01,0,
